,SEX,TIP,AGE,FO,EDU,DOHOD,PROF,weight
132,1.0,1.0,43.0,2.0,5.0,2.0,7.0,0.695800566912402
133,1.0,2.0,30.0,5.0,4.0,3.0,7.0,0.8026064863227812
134,2.0,5.0,50.0,5.0,6.0,3.0,7.0,0.8741886799574718
135,1.0,1.0,39.0,6.0,3.0,2.0,7.0,0.16980267689463896
136,2.0,3.0,34.0,3.0,5.0,3.0,7.0,1.320583919107777
137,1.0,4.0,45.0,7.0,5.0,3.0,7.0,0.5769081400412154
138,2.0,4.0,60.0,2.0,5.0,2.0,1.0,0.6466358468266032
139,2.0,1.0,45.0,1.0,4.0,2.0,5.0,1.056425255196043
140,1.0,1.0,39.0,6.0,4.0,2.0,7.0,0.16980267689463896
141,1.0,1.0,60.0,2.0,5.0,4.0,2.0,0.7163820516246919
142,1.0,2.0,42.0,3.0,5.0,3.0,7.0,0.32711630399153857
143,2.0,7.0,63.0,3.0,6.0,3.0,1.0,0.7978038755897784
144,1.0,2.0,40.0,7.0,6.0,3.0,7.0,0.823378712626955
145,1.0,2.0,35.0,5.0,5.0,4.0,7.0,0.7237213086931964
146,2.0,1.0,51.0,2.0,5.0,3.0,7.0,0.9177160672834836
147,1.0,4.0,51.0,5.0,3.0,5.0,7.0,0.5594300580940323
148,1.0,1.0,41.0,6.0,6.0,3.0,8.0,0.3956833580808895
149,2.0,2.0,40.0,3.0,6.0,3.0,9.0,0.37207707594386896
150,2.0,1.0,20.0,2.0,5.0,4.0,4.0,1.3206584428348078
151,1.0,1.0,39.0,1.0,5.0,4.0,8.0,0.695800566912402
152,1.0,3.0,24.0,1.0,5.0,3.0,7.0,2.2673490528078517
153,1.0,1.0,59.0,3.0,5.0,3.0,9.0,0.4354210158860262
154,1.0,1.0,32.0,5.0,5.0,5.0,7.0,0.31205081119690603
155,1.0,1.0,68.0,1.0,4.0,5.0,1.0,0.8246603919071431
156,2.0,7.0,57.0,5.0,5.0,3.0,1.0,0.9438460857096043
157,1.0,7.0,64.0,5.0,5.0,3.0,2.0,1.8054763153624205
158,1.0,2.0,28.0,5.0,6.0,2.0,7.0,0.542812759709441
159,1.0,2.0,35.0,8.0,5.0,3.0,8.0,0.15430327756628748
160,1.0,2.0,34.0,5.0,5.0,3.0,7.0,0.542812759709441
161,1.0,2.0,32.0,6.0,5.0,3.0,9.0,1.1023632156888359
162,2.0,7.0,58.0,5.0,5.0,4.0,1.0,0.9438460857096043
163,2.0,5.0,50.0,6.0,5.0,3.0,7.0,2.007104649407621
164,2.0,7.0,30.0,5.0,5.0,3.0,9.0,1.626185409603412
165,1.0,1.0,39.0,5.0,4.0,4.0,7.0,0.6639744887357436
166,2.0,3.0,49.0,1.0,5.0,3.0,8.0,1.4879537145753199
167,1.0,6.0,39.0,8.0,4.0,2.0,2.0,1.4042643353996833
168,2.0,1.0,53.0,1.0,5.0,2.0,8.0,0.9177160672834836
169,2.0,1.0,77.0,3.0,5.0,3.0,1.0,0.4165802968480908
170,1.0,1.0,52.0,6.0,5.0,3.0,7.0,0.8203167956306535
171,1.0,3.0,44.0,3.0,5.0,3.0,7.0,0.7105627594226214
172,1.0,1.0,25.0,1.0,4.0,2.0,7.0,1.0454434319303
173,1.0,1.0,21.0,1.0,5.0,3.0,4.0,1.7871736487816863
174,2.0,3.0,75.0,1.0,5.0,3.0,1.0,1.2794591697770965
175,2.0,1.0,61.0,1.0,5.0,3.0,1.0,1.0687130911508451
176,2.0,2.0,38.0,3.0,5.0,3.0,7.0,0.37207707594386896
177,2.0,1.0,81.0,7.0,5.0,3.0,1.0,1.4892067406909473
178,2.0,7.0,27.0,2.0,5.0,3.0,9.0,0.9140765132442855
179,2.0,1.0,70.0,2.0,4.0,2.0,1.0,1.2302448876070828
180,1.0,4.0,67.0,5.0,4.0,3.0,1.0,1.6367954911100684
181,2.0,3.0,38.0,3.0,4.0,3.0,5.0,0.8054683006377971
182,2.0,7.0,38.0,5.0,5.0,3.0,7.0,0.6142815847353819
183,2.0,7.0,36.0,3.0,2.0,3.0,7.0,1.6376426878487282
184,2.0,4.0,41.0,1.0,5.0,4.0,7.0,1.412266248406565
185,2.0,2.0,55.0,4.0,4.0,4.0,7.0,0.41824285007130885
186,2.0,7.0,65.0,2.0,3.0,3.0,1.0,0.6414406658662114
187,2.0,3.0,64.0,2.0,4.0,3.0,1.0,0.7812731209119019
188,2.0,7.0,71.0,1.0,4.0,3.0,1.0,0.955908529869663
189,2.0,2.0,24.0,5.0,5.0,2.0,7.0,0.6693444575269856
190,1.0,7.0,34.0,1.0,5.0,2.0,8.0,2.5390762212241835
191,1.0,5.0,35.0,2.0,4.0,3.0,7.0,0.7566214775274318
192,2.0,1.0,33.0,7.0,4.0,3.0,5.0,2.524470086772773
193,2.0,2.0,30.0,5.0,6.0,2.0,6.0,1.36072180183476
194,2.0,1.0,40.0,5.0,5.0,3.0,7.0,1.2300485554805638
195,2.0,7.0,65.0,7.0,4.0,4.0,1.0,1.5626090486345805
196,2.0,7.0,66.0,5.0,4.0,3.0,1.0,1.4953449354924824
197,2.0,7.0,62.0,2.0,4.0,3.0,1.0,0.6414406658662114
198,1.0,1.0,71.0,7.0,5.0,3.0,99.0,0.6593585992067291
199,1.0,3.0,62.0,6.0,6.0,2.0,1.0,0.7648875203883438
200,1.0,1.0,65.0,2.0,5.0,4.0,2.0,0.7163820516246919
201,1.0,3.0,38.0,3.0,999.0,99.0,999.0,0.7118765897384671
202,1.0,3.0,34.0,1.0,5.0,3.0,7.0,1.0183582370715407
203,2.0,7.0,56.0,1.0,4.0,3.0,1.0,0.8404945334958348
204,1.0,5.0,34.0,6.0,4.0,2.0,7.0,1.1958660686231117
205,1.0,5.0,39.0,6.0,2.0,3.0,7.0,1.0978248589520228
206,1.0,3.0,32.0,3.0,4.0,3.0,2.0,3.3837840103483394
207,2.0,7.0,39.0,3.0,5.0,3.0,7.0,1.6346202754800205
208,2.0,4.0,47.0,5.0,3.0,3.0,7.0,1.2925810829859417
209,1.0,3.0,36.0,7.0,4.0,4.0,5.0,0.704076384359283
210,2.0,3.0,27.0,1.0,5.0,3.0,7.0,1.333263114333516
211,1.0,1.0,56.0,5.0,5.0,3.0,7.0,0.43973287971884845
212,1.0,7.0,20.0,3.0,4.0,3.0,4.0,5.115725132808511
213,2.0,1.0,56.0,2.0,6.0,4.0,9.0,0.9177160672834836
214,1.0,1.0,26.0,1.0,5.0,2.0,4.0,0.9081761631497366
215,1.0,1.0,43.0,1.0,6.0,3.0,9.0,0.695800566912402
216,2.0,6.0,59.0,8.0,4.0,3.0,2.0,3.32954250135984
217,2.0,3.0,57.0,1.0,5.0,5.0,9.0,1.4879537145753199
218,1.0,1.0,40.0,1.0,4.0,3.0,7.0,0.8009680964198747
219,2.0,3.0,22.0,1.0,5.0,3.0,7.0,0.9701341551154331
220,2.0,2.0,26.0,7.0,6.0,2.0,5.0,0.9373170938879396
221,2.0,7.0,59.0,7.0,4.0,4.0,1.0,0.9177555097784614
222,2.0,1.0,48.0,7.0,5.0,3.0,7.0,0.48812102482935926
223,1.0,1.0,47.0,1.0,5.0,2.0,7.0,0.8006821130067167
224,2.0,2.0,32.0,5.0,5.0,3.0,7.0,1.36072180183476
225,1.0,3.0,66.0,3.0,6.0,3.0,2.0,0.4643891279435459
226,2.0,7.0,69.0,1.0,4.0,3.0,1.0,0.955908529869663
227,1.0,1.0,23.0,5.0,6.0,4.0,7.0,0.43516681247844957
228,1.0,6.0,42.0,7.0,4.0,5.0,9.0,0.6015041289820464
229,2.0,7.0,57.0,3.0,3.0,3.0,7.0,0.8012992323756112
230,1.0,4.0,43.0,4.0,4.0,4.0,7.0,2.174239329264067
231,1.0,3.0,38.0,4.0,6.0,4.0,7.0,0.23412711836049258
232,1.0,1.0,28.0,1.0,5.0,3.0,7.0,0.9081761631497366
233,2.0,5.0,67.0,5.0,4.0,3.0,2.0,0.9865765944675589
234,2.0,1.0,62.0,1.0,5.0,5.0,1.0,1.0687130911508451
235,2.0,2.0,30.0,5.0,4.0,3.0,9.0,2.0119721297966486
236,2.0,7.0,38.0,2.0,5.0,4.0,5.0,1.365735821128605
237,1.0,7.0,52.0,5.0,4.0,3.0,2.0,1.493356224482182
238,2.0,4.0,35.0,5.0,6.0,3.0,9.0,1.372300091031106
239,1.0,3.0,39.0,2.0,4.0,3.0,7.0,0.9174046558279584
240,1.0,5.0,30.0,1.0,6.0,2.0,7.0,1.1851794191141467
241,1.0,1.0,56.0,3.0,5.0,3.0,5.0,0.4354210158860262
242,1.0,3.0,38.0,2.0,5.0,3.0,7.0,0.5047803768141059
243,2.0,1.0,49.0,7.0,4.0,3.0,7.0,0.515340556724096
244,2.0,1.0,50.0,1.0,6.0,3.0,7.0,0.9177160672834836
245,1.0,3.0,40.0,5.0,6.0,1.0,7.0,0.429533343733702
246,1.0,1.0,29.0,1.0,5.0,3.0,7.0,0.9081761631497366
247,2.0,7.0,56.0,4.0,4.0,4.0,1.0,1.2649620796926886
248,1.0,5.0,50.0,3.0,6.0,1.0,8.0,0.930269597658818
249,2.0,5.0,56.0,3.0,4.0,3.0,1.0,0.6339727159367587
250,2.0,1.0,43.0,3.0,5.0,2.0,7.0,1.3015873181961233
251,1.0,1.0,35.0,5.0,5.0,3.0,7.0,0.44905421367647375
252,1.0,7.0,65.0,6.0,4.0,3.0,1.0,1.0576368382588357
253,2.0,7.0,42.0,7.0,4.0,3.0,7.0,0.927777324830256
254,2.0,4.0,53.0,5.0,4.0,3.0,7.0,1.2925810829859417
255,2.0,3.0,68.0,2.0,4.0,3.0,1.0,0.7812731209119019
256,2.0,1.0,48.0,7.0,2.0,3.0,7.0,0.515340556724096
257,1.0,1.0,36.0,7.0,4.0,2.0,7.0,0.7737576866611936
258,1.0,1.0,71.0,3.0,4.0,5.0,1.0,0.6285415426772409
259,1.0,4.0,42.0,7.0,3.0,3.0,7.0,0.6015041289820464
260,1.0,1.0,70.0,5.0,5.0,3.0,2.0,0.8953656093500769
261,2.0,3.0,68.0,8.0,4.0,4.0,1.0,1.0462909833088496
262,1.0,1.0,57.0,5.0,5.0,3.0,7.0,0.43973287971884845
263,1.0,3.0,39.0,6.0,4.0,2.0,7.0,0.4109521959272251
264,1.0,1.0,46.0,5.0,6.0,3.0,8.0,0.43973287971884845
265,1.0,5.0,49.0,2.0,5.0,3.0,1.0,0.6349543340182379
266,2.0,2.0,63.0,6.0,6.0,1.0,1.0,0.5844240713142924
267,2.0,1.0,69.0,5.0,3.0,3.0,1.0,1.1288084091029154
268,2.0,4.0,30.0,1.0,5.0,4.0,5.0,2.1812443600521965
269,2.0,3.0,83.0,3.0,5.0,2.0,1.0,1.703389003234922
270,1.0,3.0,46.0,4.0,4.0,3.0,7.0,0.4109391668425548
271,2.0,7.0,68.0,4.0,5.0,3.0,1.0,0.7182781721802994
272,2.0,1.0,52.0,1.0,5.0,3.0,7.0,0.9177160672834836
273,1.0,3.0,54.0,7.0,5.0,3.0,7.0,0.6767660353672648
274,2.0,3.0,65.0,8.0,5.0,2.0,1.0,0.9859124488764217
275,2.0,5.0,41.0,3.0,4.0,3.0,5.0,0.9705214075001902
276,2.0,3.0,42.0,7.0,5.0,3.0,6.0,2.349907469795489
277,1.0,1.0,31.0,1.0,5.0,2.0,7.0,0.9081761631497366
278,2.0,5.0,57.0,6.0,4.0,99.0,2.0,0.8613244285280701
279,2.0,1.0,18.0,3.0,3.0,4.0,4.0,0.8433144405766406
280,1.0,1.0,39.0,1.0,6.0,3.0,7.0,0.38687767308568555
281,1.0,3.0,39.0,1.0,5.0,4.0,7.0,0.40146294238875685
282,1.0,1.0,30.0,5.0,5.0,2.0,7.0,0.31205081119690603
283,1.0,1.0,33.0,5.0,5.0,3.0,7.0,0.31205081119690603
284,1.0,3.0,50.0,8.0,6.0,3.0,7.0,0.4202292984231025
285,2.0,4.0,46.0,7.0,5.0,3.0,5.0,0.5093445977246301
286,2.0,7.0,70.0,1.0,4.0,2.0,1.0,0.955908529869663
287,2.0,1.0,37.0,1.0,5.0,4.0,7.0,1.4204957823468085
288,1.0,5.0,62.0,4.0,4.0,3.0,2.0,0.6299843331568659
289,2.0,2.0,58.0,8.0,4.0,3.0,2.0,0.36558986388844517
290,1.0,1.0,49.0,2.0,6.0,4.0,7.0,0.8006821130067167
291,1.0,4.0,20.0,7.0,3.0,3.0,7.0,1.6917606792488542
292,1.0,7.0,42.0,8.0,6.0,3.0,8.0,1.1995178993768694
293,2.0,4.0,32.0,1.0,5.0,3.0,6.0,1.5077393141874795
294,2.0,7.0,37.0,7.0,5.0,3.0,9.0,0.8787734881344554
295,2.0,4.0,57.0,5.0,4.0,3.0,1.0,1.2925810829859417
296,1.0,3.0,30.0,1.0,6.0,3.0,7.0,0.8369675720376215
297,2.0,7.0,34.0,8.0,6.0,2.0,7.0,1.914822092790878
298,1.0,5.0,29.0,1.0,4.0,3.0,7.0,1.0763000881929583
299,1.0,5.0,71.0,1.0,4.0,3.0,1.0,0.5662790007278534
300,2.0,5.0,61.0,2.0,6.0,3.0,2.0,0.6466358468266032
301,1.0,6.0,40.0,7.0,5.0,3.0,7.0,0.569733563653907
302,2.0,2.0,40.0,3.0,5.0,3.0,5.0,0.37207707594386896
303,1.0,2.0,36.0,8.0,5.0,2.0,2.0,0.15430327756628748
304,2.0,7.0,72.0,2.0,5.0,2.0,1.0,0.3529376692857741
305,2.0,7.0,65.0,3.0,5.0,3.0,1.0,0.7978038755897784
306,1.0,1.0,20.0,2.0,3.0,2.0,5.0,2.0572979435595147
307,1.0,5.0,60.0,8.0,4.0,1.0,2.0,0.7260109504614293
308,1.0,3.0,46.0,8.0,5.0,3.0,9.0,0.4202292984231025
309,1.0,5.0,58.0,8.0,2.0,3.0,8.0,1.012083189083136
310,2.0,2.0,37.0,5.0,3.0,2.0,5.0,1.0651936256722234
311,2.0,1.0,48.0,6.0,5.0,3.0,7.0,1.1875930629739997
312,2.0,1.0,72.0,3.0,4.0,3.0,1.0,0.4173505536842749
313,1.0,7.0,39.0,4.0,3.0,3.0,7.0,1.1594271266868246
314,1.0,5.0,33.0,5.0,5.0,3.0,7.0,1.5656723841883133
315,1.0,3.0,58.0,8.0,4.0,4.0,1.0,0.4459646760352526
316,2.0,3.0,37.0,5.0,6.0,3.0,9.0,4.589572903032038
317,2.0,7.0,40.0,7.0,2.0,3.0,5.0,0.927777324830256
318,1.0,7.0,64.0,4.0,6.0,3.0,2.0,0.4156026108390918
319,1.0,1.0,64.0,6.0,4.0,3.0,1.0,0.346013972878296
320,1.0,6.0,35.0,5.0,4.0,3.0,5.0,0.6957657064305626
321,2.0,6.0,63.0,7.0,4.0,3.0,1.0,0.8047815725904381
322,1.0,4.0,64.0,2.0,5.0,3.0,2.0,0.6575887944982602
323,1.0,7.0,60.0,5.0,5.0,4.0,1.0,1.8054763153624205
324,2.0,1.0,43.0,2.0,6.0,3.0,7.0,1.4204957823468085
325,1.0,1.0,26.0,2.0,5.0,2.0,9.0,0.9081761631497366
326,2.0,1.0,47.0,6.0,4.0,4.0,7.0,0.5096410476613074
327,1.0,1.0,25.0,6.0,4.0,3.0,7.0,0.32581185503445104
328,2.0,1.0,18.0,1.0,3.0,2.0,3.0,1.5202707920636185
329,2.0,1.0,40.0,1.0,5.0,3.0,7.0,1.4204957823468085
330,2.0,1.0,39.0,7.0,5.0,5.0,9.0,0.6350502156622786
331,2.0,7.0,35.0,4.0,5.0,3.0,7.0,5.764818779781675
332,1.0,1.0,36.0,1.0,5.0,2.0,7.0,0.695800566912402
333,1.0,1.0,24.0,5.0,5.0,2.0,7.0,0.43516681247844957
334,2.0,1.0,66.0,5.0,5.0,3.0,2.0,0.7634271815266104
335,2.0,1.0,43.0,5.0,6.0,1.0,7.0,1.2300485554805638
336,2.0,1.0,47.0,1.0,6.0,4.0,8.0,0.9177160672834836
337,1.0,7.0,33.0,4.0,5.0,4.0,9.0,3.276581949571711
338,2.0,2.0,54.0,5.0,5.0,3.0,2.0,0.5590442910749174
339,1.0,4.0,46.0,3.0,5.0,3.0,1.0,0.930269597658818
340,2.0,7.0,62.0,7.0,4.0,3.0,1.0,1.5626090486345805
341,1.0,3.0,43.0,1.0,5.0,3.0,7.0,0.40146294238875685
342,1.0,3.0,36.0,1.0,5.0,3.0,4.0,0.40146294238875685
343,1.0,4.0,45.0,3.0,4.0,4.0,7.0,0.9319896658485822
344,2.0,4.0,36.0,2.0,5.0,2.0,7.0,2.885772881977803
345,1.0,7.0,45.0,7.0,5.0,3.0,8.0,1.1473801309400886
346,2.0,7.0,73.0,1.0,5.0,2.0,1.0,1.0526089596994213
347,1.0,3.0,37.0,5.0,4.0,3.0,7.0,0.6351108031379349
348,2.0,5.0,38.0,5.0,5.0,3.0,7.0,1.372300091031106
349,2.0,7.0,48.0,3.0,4.0,2.0,7.0,0.8012992323756112
350,1.0,5.0,53.0,5.0,5.0,3.0,1.0,0.3783495135825633
351,2.0,7.0,61.0,3.0,4.0,3.0,2.0,0.7992790147016298
352,1.0,2.0,40.0,5.0,4.0,4.0,9.0,1.0700990465996014
353,2.0,4.0,49.0,5.0,5.0,3.0,7.0,0.8741886799574718
354,2.0,7.0,35.0,5.0,4.0,3.0,9.0,0.9082807570720405
355,1.0,3.0,32.0,1.0,5.0,2.0,7.0,1.0183582370715407
356,1.0,5.0,25.0,7.0,5.0,99.0,3.0,1.4663301750357607
